id,before,after
1,"rock","arcade game soundtrack"
2,"rock","techno"
5,"rock","epic soundtrack"
14,"man singing, woman singing","saxophone, trumpet"
16,"man singing, woman singing","trumpet, saxophone"
21,"rock band, epic rock","orchestra, epic soundtrack"
24,"upbeat, rock","dark, techno"
28,"upbeat, jazz","dark, techno"
29,"jazz","country"
36,"trumpet, saxophone","flute, guitar"
38,"trumpet","guitar"
39,"piano","guitar"
46,"piano","guitar"
49,"piano","violin"
51,"calm classical music","epic movie soundtrack"
53,"calm classical music","dark techno"
61,"orchestra, classical music, flutes, strings","rock band, rock music, guitars, piano"
64,"flutes","strings"
67,"wind instruments, strings","piano"
68,"wind instruments","piano, strings"
72,"rock","arcade game soundtrack"
78,"rock","classical music piece"
85,"guitars, drums, bass","orchestra"
88,"rock band, upbeat rock","jazz band, upbeat jazz"
95,"Chinese","Arabic"
96,"Chinese","Hindu"
98,"Chinese","pop"
102,"happy","angry, metal"
106,"Chinese","NA"
109,"Chinese instruments","Arabic instruments"
110,"Chinese instruments","orchestra"
111,"Chinese instruments","rock band"
113,"dramatic epic","happy"
114,"dramatic epic Chinese","arcade game soundtrack"
115,"dramatic epic","upbeat"
116,"Chinese","Hindu"
117,"Chinese","Arabic"
118,"Chinese","techno"
126,"Chinese instruments","orchestra"
134,"Chinese","country"
138,"Chinese","Hindu"
141,"Chinese","techno"
150,"happy","sad"
153,"Chinese","metal"
167,"Chinese instruments","retro arcade soundtrack"
177,"Arabic, Chinese, mysterious, Chinese flutes","epic movie soundtrack, wind instruments"
180,"Chinese strings, Arabic strings, Chinese flutes, drums","orchestra"
182,"Chinese strings, Arabic strings, Chinese flutes, drums","rock band"
184,"happy","sad"
187,"Chinese","rock"
191,"Chinese","orchestral"
194,"Chinese flutes, Chinese strings","flutes, guitars"
195,"Chinese flutes, Chinese strings","string section"
198,"Chinese instruments","electronic music"
199,"Chinese instruments","rock band"
200,"Chinese instruments","string quartet"
201,"Chinese instruments","orchestra"
204,"jazz","hip hop"
206,"jazz","arcade game soundtrack"
208,"jazz","Arabic"
215,"jazz","metal"
217,"trumpet","NA"
220,"saxophone","guitar"
222,"saxophone","violin"
231,"man singing","woman singing"
232,"guitar","violin"
233,"man singing, guitar","violin"
237,"man singing","woman singing"
238,"guitar","violin"
239,"guitar","piano"
240,"man singing","NA"
248,"country","oriental"
251,"country","opera, orchestra"
253,"country","jazz, trumpet"
255,"guitar","trumpet"
257,"woman singing","violin"
262,"woman singing","NA"
266,"upbeat, disco","sad, rap"
272,"man singing, disco","keyboard, techno"
275,"man singing, disco","kid singing, piano, rock"
279,"man singing, guitar","piano"
284,"jazz","country"
285,"sneaky","angry, metal"
286,"jazz","arcade game soundtrack"
290,"sneaky","quiet, hip hop"
295,"clarinet, jazz","violin, classical, orchestra"
298,"clarinet","trumpet"
299,"clarinet","saxophone"
300,"clarinet","piano"
301,"clarinet","orchestra"
303,"clarinet","rock band"
308,"jazz","hip hop"
311,"jazz","Chinese"
312,"trumpet","saxophone"
318,"trumpet","guitar"
328,"jazz","arcade game soundtrack"
329,"jazz","techno"
331,"trumpet","violin"
333,"jazz, trumpet","rock, guitar"
339,"trumpet","piano"
340,"trumpet","woman singing"
343,"gospel, upbeat","metal, rhythmic"
349,"gospel","jazz"
352,"woman singing, gospel","banjo, country"
353,"woman singing, gospel","man singing, metal"
360,"guitar","string section"
362,"dramatic classical music","epic movie soundtrack"
365,"dramatic classical music","romantic country"
367,"dramatic classical music","scary techno"
370,"dramatic classical music","arcade game soundtrack"
374,"classical music","Chinese music"
377,"flutes","trumpets"
378,"flutes","piano"
382,"flutes","trumpets"
383,"flutes","saxophones"
390,"grunge rock","Arabic"
391,"grunge rock","jazz"
393,"grunge rock","hip hop"
394,"grunge rock","pop"
395,"grunge rock","rap"
396,"grunge rock","reggae"
398,"man singing","woman singing"
406,"man singing","NA"
410,"rock","death metal"
411,"rock","hip hop"
419,"rock, man singing, guitar","techno, synthesizer"
421,"man singing","woman singing"
422,"rock band","orchestra rock band"
423,"man singing","woman singing"
424,"rock band","jazz band"
431,"classical music","arcade game soundtrack"
432,"classical music","Arabic music"
433,"classical music, flutes","Chinese music, Chinese flutes"
434,"classical music, flutes, strings","techno, synthesizer, guitars"
436,"classical music, flutes, strings","jazz, violins, trumpets"
437,"classical music, flutes, strings","arcade game, synthesizer"
444,"Latin jazz","rock"
453,"trumpet","woman vocalizing"
459,"trumpet","saxophone"
465,"upbeat","slow"
471,"trumpets","women singing"
472,"trumpets","violins"
474,"piano","harp"
475,"trumpets","harp"
476,"trumpets","guitars"
478,"trumpets","saxophones"
480,"piano, bass, drums","orchestra"
484,"classical music","Arabic music"
487,"classical music","hip hop"
488,"classical music","pop"
489,"cello","saxophone"
492,"cello, violin, strings","piano, flute, strings"
500,"cello","guitar"
503,"violins","choir"
507,"punk","arcade game soundtrack"
508,"punk","movie soundtrack"
509,"punk","classical music score"
511,"punk","country"
516,"man singing","woman singing"
518,"punk","Arabic"
519,"punk, guitar","jazz, saxophone"
523,"guitar","violin"
525,"man singing, guitar","violin"
527,"reggae","hip hop"
532,"upbeat","slow"
534,"reggae","Chinese"
535,"man singing","woman singing"
536,"reggae","rap"
537,"reggae, man singing","country, woman singing"
539,"reggae","rock"
544,"bass, drums","orchestra"
545,"bass, drums","piano"
548,"rock","jazz"
551,"sixties","eighties"
555,"rock","arcade game soundtrack"
560,"60s","90s"
564,"rock, 60s","hip hop, 90s"
567,"guitar","violin"
570,"guitar","saxophone"
572,"rock","jazz"
575,"rock","classical"
576,"rock","arcade game soundtrack"
577,"rock","techno"
580,"old rock","new rock"
588,"woman singing","man singing"
589,"woman singing","piano"
592,"woman singing, guitar","violin, orchestra"
594,"guitar","bass"
596,"country","jazz"
597,"country","reggae"
598,"country","Chinese"
601,"country","pop"
603,"country","classical music"
604,"calm","upbeat"
606,"guitars","trumpets"
613,"guitar","woman singing"
616,"metal","rap"
620,"metal","techno"
621,"metal","oriental"
624,"metal, electric guitar","country, banjo"
628,"electric guitar","violin"
631,"electric guitar","woman vocalizing, opera"
633,"electric guitar","acoustic guitar, pop"
635,"jazz","country"
636,"jazz","hip hop"
637,"jazz","techno"
638,"jazz","classical"
644,"piano","violin"
646,"jazz","classical"
648,"saxophone","man singing"
651,"saxophone","guitar"
652,"saxophone","flute"
653,"classical music","blues"
657,"happy, upbeat","sad, mysterious"
659,"classical music","jazz"
661,"strings, classical music","synthesizer, techno"
663,"strings, classical music","metal band, metal music"
664,"strings","flutes"
667,"strings","piano"
668,"happy","sad"
670,"strings","rock band"
673,"strings","country band"
677,"hard rock","techno"
678,"hard rock","arcade game soundtrack"
680,"hard rock","romantic country"
682,"hard rock","hip hop"
683,"electric guitar","trumpet"
686,"electric guitar","saxophone"
688,"guitar","piano"
691,"guitar, rock band","saxophone, jazz band"
694,"guitar, rock band","violin, orchestra"
695,"rock, rock band","country, country band"
