audio_id,edit
0,GENRE
1,GENRE
2,GENRE
3,GENRE
4,GENRE
5,GENRE
6,VOICE
7,OTHER
8,OTHER
9,OTHER
10,VOICE
11,GENRE
12,VOICE
13,INSTR
14,INSTR
15,INSTR
16,INSTR
17,INSTR
18,GENRE
19,GENRE
20,GENRE
21,GENRE
22,GENRE
23,GENRE
24,GENRE
25,GENRE
26,GENRE
27,MOOD
28,GENRE
29,GENRE
30,GENRE
31,GENRE
32,GENRE
33,GENRE
34,TEMPO
35,GENRE
36,INSTR
37,INSTR
38,INSTR
39,INSTR
40,INSTR
41,GENRE
42,INSTR
43,INSTR
44,INSTR
45,INSTR
46,INSTR
47,INSTR
48,INSTR
49,INSTR
50,INSTR
51,GENRE
52,GENRE
53,GENRE
54,GENRE
55,GENRE
56,GENRE
57,GENRE
58,GENRE
59,GENRE
60,GENRE
61,GENRE
62,INSTR
63,INSTR
64,INSTR
65,INSTR
66,INSTR
67,INSTR
68,INSTR
69,INSTR
70,INSTR
71,INSTR
72,GENRE
73,GENRE
74,GENRE
75,GENRE
76,GENRE
77,GENRE
78,GENRE
79,GENRE
80,GENRE
81,VOICE
82,VOICE
83,VOICE
84,INSTR
85,GENRE
86,GENRE
87,GENRE
88,GENRE
89,GENRE
90,GENRE
91,GENRE
92,MOOD
93,MOOD
94,TEMPO
95,GENRE
96,GENRE
97,GENRE
98,GENRE
99,GENRE
100,GENRE
101,GENRE
102,MOOD
103,GENRE
104,GENRE
105,GENRE
106,GENRE
107,MOOD
108,MOOD
109,GENRE
110,GENRE
111,GENRE
112,INSTR
113,MOOD
114,GENRE
115,MOOD
116,GENRE
117,GENRE
118,GENRE
119,GENRE
120,GENRE
121,GENRE
122,GENRE
123,MOOD
124,GENRE
125,GENRE
126,GENRE
127,GENRE
128,INSTR
129,GENRE
130,GENRE
131,GENRE
132,MOOD
133,GENRE
134,GENRE
135,GENRE
136,TEMPO
137,MOOD
138,GENRE
139,GENRE
140,GENRE
141,GENRE
142,INSTR
143,GENRE
144,GENRE
145,GENRE
146,GENRE
147,GENRE
148,INSTR
149,GENRE
150,MOOD
151,GENRE
152,GENRE
153,GENRE
154,GENRE
155,GENRE
156,MOOD
157,GENRE
158,GENRE
159,GENRE
160,GENRE
161,GENRE
162,MOOD
163,INSTR
164,GENRE
165,GENRE
166,GENRE
167,GENRE
168,GENRE
169,MOOD
170,GENRE
171,GENRE
172,GENRE
173,GENRE
174,GENRE
175,MOOD
176,INSTR
177,GENRE
178,GENRE
179,INSTR
180,GENRE
181,INSTR
182,GENRE
183,INSTR
184,MOOD
185,GENRE
186,GENRE
187,GENRE
188,GENRE
189,GENRE
190,GENRE
191,GENRE
192,MOOD
193,GENRE
194,INSTR
195,INSTR
196,INSTR
197,GENRE
198,GENRE
199,GENRE
200,INSTR
201,GENRE
202,MOOD
203,GENRE
204,GENRE
205,GENRE
206,GENRE
207,GENRE
208,GENRE
209,INSTR
210,INSTR
211,INSTR
212,INSTR
213,INSTR
214,INSTR
215,GENRE
216,GENRE
217,INSTR
218,INSTR
219,INSTR
220,INSTR
221,INSTR
222,INSTR
223,INSTR
224,MOOD
225,GENRE
226,GENRE
227,GENRE
228,GENRE
229,GENRE
230,GENRE
231,VOICE
232,INSTR
233,INSTR
234,GENRE
235,GENRE
236,INSTR
237,VOICE
238,INSTR
239,INSTR
240,INSTR
241,GENRE
242,GENRE
243,GENRE
244,GENRE
245,GENRE
246,GENRE
247,GENRE
248,GENRE
249,VOICE
250,GENRE
251,GENRE
252,INSTR
253,GENRE
254,INSTR
255,INSTR
256,VOICE
257,INSTR
258,INSTR
259,INSTR
260,INSTR
261,INSTR
262,INSTR
263,GENRE
264,GENRE
265,MOOD
266,MOOD
267,GENRE
268,GENRE
269,GENRE
270,VOICE
271,GENRE
272,GENRE
273,INSTR
274,GENRE
275,VOICE
276,VOICE
277,INSTR
278,INSTR
279,INSTR
280,INSTR
281,INSTR
282,INSTR
283,INSTR
284,GENRE
285,MOOD
286,GENRE
287,GENRE
288,GENRE
289,GENRE
290,MOOD
291,INSTR
292,INSTR
293,INSTR
294,OTHER
295,GENRE
296,VOICE
297,INSTR
298,INSTR
299,INSTR
300,INSTR
301,GENRE
302,INSTR
303,GENRE
304,GENRE
305,GENRE
306,MOOD
307,MOOD
308,GENRE
309,GENRE
310,GENRE
311,GENRE
312,INSTR
313,INSTR
314,GENRE
315,GENRE
316,GENRE
317,INSTR
318,INSTR
319,INSTR
320,OTHER
321,INSTR
322,GENRE
323,GENRE
324,GENRE
325,GENRE
326,GENRE
327,GENRE
328,GENRE
329,GENRE
330,INSTR
331,INSTR
332,OTHER
333,GENRE
334,GENRE
335,GENRE
336,INSTR
337,INSTR
338,INSTR
339,INSTR
340,OTHER
341,GENRE
342,GENRE
343,GENRE
344,GENRE
345,GENRE
346,GENRE
347,GENRE
348,MOOD
349,GENRE
350,VOICE
351,INSTR
352,GENRE
353,GENRE
354,GENRE
355,GENRE
356,VOICE
357,INSTR
358,INSTR
359,INSTR
360,INSTR
361,GENRE
362,GENRE
363,GENRE
364,GENRE
365,GENRE
366,GENRE
367,GENRE
368,GENRE
369,GENRE
370,GENRE
371,GENRE
372,GENRE
373,GENRE
374,GENRE
375,GENRE
376,GENRE
377,INSTR
378,INSTR
379,GENRE
380,INSTR
381,GENRE
382,INSTR
383,INSTR
384,INSTR
385,INSTR
386,GENRE
387,GENRE
388,GENRE
389,GENRE
390,GENRE
391,GENRE
392,GENRE
393,GENRE
394,GENRE
395,GENRE
396,GENRE
397,GENRE
398,VOICE
399,GENRE
400,GENRE
401,GENRE
402,GENRE
403,VOICE
404,GENRE
405,VOICE
406,OTHER
407,GENRE
408,GENRE
409,GENRE
410,GENRE
411,GENRE
412,GENRE
413,GENRE
414,GENRE
415,GENRE
416,VOICE
417,GENRE
418,GENRE
419,GENRE
420,OTHER
421,VOICE
422,GENRE
423,VOICE
424,GENRE
425,OTHER
426,MOOD
427,GENRE
428,GENRE
429,GENRE
430,GENRE
431,GENRE
432,GENRE
433,GENRE
434,GENRE
435,GENRE
436,GENRE
437,GENRE
438,INSTR
439,INSTR
440,INSTR
441,INSTR
442,INSTR
443,INSTR
444,GENRE
445,GENRE
446,GENRE
447,GENRE
448,GENRE
449,GENRE
450,INSTR
451,INSTR
452,INSTR
453,VOICE
454,VOICE
455,GENRE
456,GENRE
457,INSTR
458,INSTR
459,INSTR
460,OTHER
461,OTHER
462,GENRE
463,GENRE
464,GENRE
465,TEMPO
466,GENRE
467,GENRE
468,GENRE
469,GENRE
470,INSTR
471,OTHER
472,INSTR
473,INSTR
474,INSTR
475,INSTR
476,INSTR
477,INSTR
478,INSTR
479,OTHER
480,GENRE
481,GENRE
482,GENRE
483,GENRE
484,GENRE
485,GENRE
486,MOOD
487,GENRE
488,GENRE
489,INSTR
490,INSTR
491,INSTR
492,INSTR
493,OTHER
494,GENRE
495,INSTR
496,INSTR
497,GENRE
498,GENRE
499,OTHER
500,INSTR
501,INSTR
502,OTHER
503,OTHER
504,OTHER
505,GENRE
506,GENRE
507,GENRE
508,GENRE
509,GENRE
510,GENRE
511,GENRE
512,GENRE
513,GENRE
514,GENRE
515,GENRE
516,VOICE
517,GENRE
518,GENRE
519,GENRE
520,VOICE
521,INSTR
522,INSTR
523,INSTR
524,INSTR
525,INSTR
526,INSTR
527,GENRE
528,GENRE
529,GENRE
530,GENRE
531,MOOD
532,TEMPO
533,GENRE
534,GENRE
535,VOICE
536,GENRE
537,GENRE
538,GENRE
539,GENRE
540,INSTR
541,VOICE
542,INSTR
543,GENRE
544,GENRE
545,INSTR
546,INSTR
547,INSTR
548,GENRE
549,GENRE
550,TEMPO
551,TEMPO
552,TEMPO
553,TEMPO
554,GENRE
555,GENRE
556,GENRE
557,GENRE
558,TEMPO
559,TEMPO
560,TEMPO
561,GENRE
562,GENRE
563,GENRE
564,GENRE
565,VOICE
566,INSTR
567,INSTR
568,INSTR
569,INSTR
570,INSTR
571,INSTR
572,GENRE
573,GENRE
574,GENRE
575,GENRE
576,GENRE
577,GENRE
578,GENRE
579,GENRE
580,GENRE
581,VOICE
582,GENRE
583,GENRE
584,GENRE
585,GENRE
586,GENRE
587,GENRE
588,VOICE
589,OTHER
590,OTHER
591,OTHER
592,OTHER
593,INSTR
594,INSTR
595,GENRE
596,GENRE
597,GENRE
598,GENRE
599,GENRE
600,GENRE
601,GENRE
602,GENRE
603,GENRE
604,MOOD
605,INSTR
606,INSTR
607,MOOD
608,INSTR
609,INSTR
610,INSTR
611,INSTR
612,INSTR
613,OTHER
614,GENRE
615,GENRE
616,GENRE
617,GENRE
618,GENRE
619,GENRE
620,GENRE
621,GENRE
622,INSTR
623,GENRE
624,GENRE
625,GENRE
626,GENRE
627,OTHER
628,INSTR
629,INSTR
630,INSTR
631,OTHER
632,INSTR
633,INSTR
634,GENRE
635,GENRE
636,GENRE
637,GENRE
638,GENRE
639,GENRE
640,GENRE
641,GENRE
642,INSTR
643,INSTR
644,INSTR
645,GENRE
646,GENRE
647,INSTR
648,OTHER
649,INSTR
650,INSTR
651,INSTR
652,INSTR
653,GENRE
654,GENRE
655,GENRE
656,GENRE
657,MOOD
658,GENRE
659,GENRE
660,GENRE
661,GENRE
662,GENRE
663,GENRE
664,INSTR
665,GENRE
666,GENRE
667,INSTR
668,MOOD
669,INSTR
670,GENRE
671,GENRE
672,GENRE
673,GENRE
674,INSTR
675,GENRE
676,GENRE
677,GENRE
678,GENRE
679,GENRE
680,GENRE
681,GENRE
682,GENRE
683,INSTR
684,INSTR
685,INSTR
686,INSTR
687,INSTR
688,INSTR
689,INSTR
690,INSTR
691,INSTR
692,INSTR
693,INSTR
694,INSTR
695,GENRE
