model,metric,concept,block,attn,impact
ace,muqt_1_mean,drums,tf0,0,0.0
ace,muqt_1_mean,drums,tf1,0,0.0
ace,muqt_1_mean,drums,tf2,0,0.04
ace,muqt_1_mean,drums,tf3,0,0.04
ace,muqt_1_mean,drums,tf4,0,0.04
ace,muqt_1_mean,drums,tf5,0,0.16
ace,muqt_1_mean,drums,tf6,0,0.08
ace,muqt_1_mean,drums,tf7,0,0.8
ace,muqt_1_mean,drums,tf8,0,0.0
ace,muqt_1_mean,drums,tf9,0,0.0
ace,muqt_1_mean,drums,tf10,0,0.0
ace,muqt_1_mean,drums,tf11,0,0.0
ace,muqt_1_mean,drums,tf12,0,0.0
ace,muqt_1_mean,drums,tf13,0,0.0
ace,muqt_1_mean,drums,tf14,0,0.04
ace,muqt_1_mean,drums,tf15,0,0.04
ace,muqt_1_mean,drums,tf16,0,0.0
ace,muqt_1_mean,drums,tf17,0,0.0
ace,muqt_1_mean,drums,tf18,0,0.04
ace,muqt_1_mean,drums,tf19,0,0.04
ace,muqt_1_mean,drums,tf20,0,0.0
ace,muqt_1_mean,drums,tf21,0,0.08
ace,muqt_1_mean,drums,tf22,0,0.0
ace,muqt_1_mean,drums,tf23,0,0.0
ace,muqt_1_mean,fast,tf0,0,0.0
ace,muqt_1_mean,fast,tf1,0,0.0
ace,muqt_1_mean,fast,tf2,0,0.0
ace,muqt_1_mean,fast,tf3,0,0.083333
ace,muqt_1_mean,fast,tf4,0,0.0
ace,muqt_1_mean,fast,tf5,0,0.333333
ace,muqt_1_mean,fast,tf6,0,0.333333
ace,muqt_1_mean,fast,tf7,0,0.208333
ace,muqt_1_mean,fast,tf8,0,0.041667
ace,muqt_1_mean,fast,tf9,0,0.041667
ace,muqt_1_mean,fast,tf10,0,0.0
ace,muqt_1_mean,fast,tf11,0,0.0
ace,muqt_1_mean,fast,tf12,0,0.0
ace,muqt_1_mean,fast,tf13,0,0.0
ace,muqt_1_mean,fast,tf14,0,0.0
ace,muqt_1_mean,fast,tf15,0,0.0
ace,muqt_1_mean,fast,tf16,0,0.0
ace,muqt_1_mean,fast,tf17,0,0.0
ace,muqt_1_mean,fast,tf18,0,0.0
ace,muqt_1_mean,fast,tf19,0,0.0
ace,muqt_1_mean,fast,tf20,0,0.0
ace,muqt_1_mean,fast,tf21,0,0.0
ace,muqt_1_mean,fast,tf22,0,0.0
ace,muqt_1_mean,fast,tf23,0,0.0
ace,clap_1_mean,female,tf0,0,0.012987
ace,clap_1_mean,female,tf1,0,0.0
ace,clap_1_mean,female,tf2,0,0.0
ace,clap_1_mean,female,tf3,0,0.0
ace,clap_1_mean,female,tf4,0,0.0
ace,clap_1_mean,female,tf5,0,0.0
ace,clap_1_mean,female,tf6,0,0.480519
ace,clap_1_mean,female,tf7,0,0.116883
ace,clap_1_mean,female,tf8,0,0.0
ace,clap_1_mean,female,tf9,0,0.0
ace,clap_1_mean,female,tf10,0,0.0
ace,clap_1_mean,female,tf11,0,0.0
ace,clap_1_mean,female,tf12,0,0.0
ace,clap_1_mean,female,tf13,0,0.0
ace,clap_1_mean,female,tf14,0,0.0
ace,clap_1_mean,female,tf15,0,0.0
ace,clap_1_mean,female,tf16,0,0.0
ace,clap_1_mean,female,tf17,0,0.0
ace,clap_1_mean,female,tf18,0,0.0
ace,clap_1_mean,female,tf19,0,0.012987
ace,clap_1_mean,female,tf20,0,0.0
ace,clap_1_mean,female,tf21,0,0.0
ace,clap_1_mean,female,tf22,0,0.0
ace,clap_1_mean,female,tf23,0,0.0
ace,muqt_1_mean,happy,tf0,0,0.0
ace,muqt_1_mean,happy,tf1,0,0.0
ace,muqt_1_mean,happy,tf2,0,0.0
ace,muqt_1_mean,happy,tf3,0,0.0
ace,muqt_1_mean,happy,tf4,0,0.0
ace,muqt_1_mean,happy,tf5,0,0.0
ace,muqt_1_mean,happy,tf6,0,0.454545
ace,muqt_1_mean,happy,tf7,0,0.454545
ace,muqt_1_mean,happy,tf8,0,0.0
ace,muqt_1_mean,happy,tf9,0,0.0
ace,muqt_1_mean,happy,tf10,0,0.0
ace,muqt_1_mean,happy,tf11,0,0.0
ace,muqt_1_mean,happy,tf12,0,0.0
ace,muqt_1_mean,happy,tf13,0,0.090909
ace,muqt_1_mean,happy,tf14,0,0.181818
ace,muqt_1_mean,happy,tf15,0,0.0
ace,muqt_1_mean,happy,tf16,0,0.0
ace,muqt_1_mean,happy,tf17,0,0.0
ace,muqt_1_mean,happy,tf18,0,0.0
ace,muqt_1_mean,happy,tf19,0,0.0
ace,muqt_1_mean,happy,tf20,0,0.0
ace,muqt_1_mean,happy,tf21,0,0.0
ace,muqt_1_mean,happy,tf22,0,0.0
ace,muqt_1_mean,happy,tf23,0,0.0
ace,muqt_1_mean,jazz,tf0,0,0.012987
ace,muqt_1_mean,jazz,tf1,0,0.025974
ace,muqt_1_mean,jazz,tf2,0,0.051948
ace,muqt_1_mean,jazz,tf3,0,0.038961
ace,muqt_1_mean,jazz,tf4,0,0.025974
ace,muqt_1_mean,jazz,tf5,0,0.012987
ace,muqt_1_mean,jazz,tf6,0,0.428571
ace,muqt_1_mean,jazz,tf7,0,0.506494
ace,muqt_1_mean,jazz,tf8,0,0.025974
ace,muqt_1_mean,jazz,tf9,0,0.0
ace,muqt_1_mean,jazz,tf10,0,0.0
ace,muqt_1_mean,jazz,tf11,0,0.0
ace,muqt_1_mean,jazz,tf12,0,0.0
ace,muqt_1_mean,jazz,tf13,0,0.0
ace,muqt_1_mean,jazz,tf14,0,0.0
ace,muqt_1_mean,jazz,tf15,0,0.012987
ace,muqt_1_mean,jazz,tf16,0,0.0
ace,muqt_1_mean,jazz,tf17,0,0.0
ace,muqt_1_mean,jazz,tf18,0,0.0
ace,muqt_1_mean,jazz,tf19,0,0.0
ace,muqt_1_mean,jazz,tf20,0,0.0
ace,muqt_1_mean,jazz,tf21,0,0.012987
ace,muqt_1_mean,jazz,tf22,0,0.012987
ace,muqt_1_mean,jazz,tf23,0,0.0
ace,clap_1_mean,male,tf0,0,0.0
ace,clap_1_mean,male,tf1,0,0.0
ace,clap_1_mean,male,tf2,0,0.0
ace,clap_1_mean,male,tf3,0,0.0
ace,clap_1_mean,male,tf4,0,0.0
ace,clap_1_mean,male,tf5,0,0.0
ace,clap_1_mean,male,tf6,0,0.425532
ace,clap_1_mean,male,tf7,0,0.680851
ace,clap_1_mean,male,tf8,0,0.0
ace,clap_1_mean,male,tf9,0,0.0
ace,clap_1_mean,male,tf10,0,0.0
ace,clap_1_mean,male,tf11,0,0.0
ace,clap_1_mean,male,tf12,0,0.0
ace,clap_1_mean,male,tf13,0,0.0
ace,clap_1_mean,male,tf14,0,0.0
ace,clap_1_mean,male,tf15,0,0.0
ace,clap_1_mean,male,tf16,0,0.0
ace,clap_1_mean,male,tf17,0,0.0
ace,clap_1_mean,male,tf18,0,0.0
ace,clap_1_mean,male,tf19,0,0.0
ace,clap_1_mean,male,tf20,0,0.0
ace,clap_1_mean,male,tf21,0,0.0
ace,clap_1_mean,male,tf22,0,0.0
ace,clap_1_mean,male,tf23,0,0.0
ace,muqt_1_mean,reggae,tf0,0,0.0
ace,muqt_1_mean,reggae,tf1,0,0.007874
ace,muqt_1_mean,reggae,tf2,0,0.007874
ace,muqt_1_mean,reggae,tf3,0,0.007874
ace,muqt_1_mean,reggae,tf4,0,0.007874
ace,muqt_1_mean,reggae,tf5,0,0.015748
ace,muqt_1_mean,reggae,tf6,0,0.023622
ace,muqt_1_mean,reggae,tf7,0,0.606299
ace,muqt_1_mean,reggae,tf8,0,0.0
ace,muqt_1_mean,reggae,tf9,0,0.0
ace,muqt_1_mean,reggae,tf10,0,0.0
ace,muqt_1_mean,reggae,tf11,0,0.0
ace,muqt_1_mean,reggae,tf12,0,0.0
ace,muqt_1_mean,reggae,tf13,0,0.0
ace,muqt_1_mean,reggae,tf14,0,0.007874
ace,muqt_1_mean,reggae,tf15,0,0.0
ace,muqt_1_mean,reggae,tf16,0,0.0
ace,muqt_1_mean,reggae,tf17,0,0.0
ace,muqt_1_mean,reggae,tf18,0,0.007874
ace,muqt_1_mean,reggae,tf19,0,0.0
ace,muqt_1_mean,reggae,tf20,0,0.0
ace,muqt_1_mean,reggae,tf21,0,0.0
ace,muqt_1_mean,reggae,tf22,0,0.0
ace,muqt_1_mean,reggae,tf23,0,0.0
ace,muqt_2_mean,sad,tf0,0,0.0
ace,muqt_2_mean,sad,tf1,0,0.0
ace,muqt_2_mean,sad,tf2,0,0.0
ace,muqt_2_mean,sad,tf3,0,0.04
ace,muqt_2_mean,sad,tf4,0,0.0
ace,muqt_2_mean,sad,tf5,0,0.0
ace,muqt_2_mean,sad,tf6,0,0.08
ace,muqt_2_mean,sad,tf7,0,0.4
ace,muqt_2_mean,sad,tf8,0,0.0
ace,muqt_2_mean,sad,tf9,0,0.0
ace,muqt_2_mean,sad,tf10,0,0.0
ace,muqt_2_mean,sad,tf11,0,0.0
ace,muqt_2_mean,sad,tf12,0,0.0
ace,muqt_2_mean,sad,tf13,0,0.2
ace,muqt_2_mean,sad,tf14,0,0.12
ace,muqt_2_mean,sad,tf15,0,0.0
ace,muqt_2_mean,sad,tf16,0,0.0
ace,muqt_2_mean,sad,tf17,0,0.0
ace,muqt_2_mean,sad,tf18,0,0.0
ace,muqt_2_mean,sad,tf19,0,0.0
ace,muqt_2_mean,sad,tf20,0,0.0
ace,muqt_2_mean,sad,tf21,0,0.0
ace,muqt_2_mean,sad,tf22,0,0.0
ace,muqt_2_mean,sad,tf23,0,0.0
ace,muqt_2_mean,slow,tf0,0,0.055556
ace,muqt_2_mean,slow,tf1,0,0.055556
ace,muqt_2_mean,slow,tf2,0,0.0
ace,muqt_2_mean,slow,tf3,0,0.055556
ace,muqt_2_mean,slow,tf4,0,0.055556
ace,muqt_2_mean,slow,tf5,0,0.333333
ace,muqt_2_mean,slow,tf6,0,0.611111
ace,muqt_2_mean,slow,tf7,0,0.111111
ace,muqt_2_mean,slow,tf8,0,0.055556
ace,muqt_2_mean,slow,tf9,0,0.0
ace,muqt_2_mean,slow,tf10,0,0.0
ace,muqt_2_mean,slow,tf11,0,0.0
ace,muqt_2_mean,slow,tf12,0,0.055556
ace,muqt_2_mean,slow,tf13,0,0.055556
ace,muqt_2_mean,slow,tf14,0,0.0
ace,muqt_2_mean,slow,tf15,0,0.055556
ace,muqt_2_mean,slow,tf16,0,0.0
ace,muqt_2_mean,slow,tf17,0,0.055556
ace,muqt_2_mean,slow,tf18,0,0.0
ace,muqt_2_mean,slow,tf19,0,0.055556
ace,muqt_2_mean,slow,tf20,0,0.0
ace,muqt_2_mean,slow,tf21,0,0.055556
ace,muqt_2_mean,slow,tf22,0,0.0
ace,muqt_2_mean,slow,tf23,0,0.0
ace,muqt_1_mean,violin,tf0,0,0.0
ace,muqt_1_mean,violin,tf1,0,0.0
ace,muqt_1_mean,violin,tf2,0,0.028571
ace,muqt_1_mean,violin,tf3,0,0.0
ace,muqt_1_mean,violin,tf4,0,0.0
ace,muqt_1_mean,violin,tf5,0,0.085714
ace,muqt_1_mean,violin,tf6,0,0.0
ace,muqt_1_mean,violin,tf7,0,1.0
ace,muqt_1_mean,violin,tf8,0,0.0
ace,muqt_1_mean,violin,tf9,0,0.0
ace,muqt_1_mean,violin,tf10,0,0.0
ace,muqt_1_mean,violin,tf11,0,0.0
ace,muqt_1_mean,violin,tf12,0,0.0
ace,muqt_1_mean,violin,tf13,0,0.0
ace,muqt_1_mean,violin,tf14,0,0.0
ace,muqt_1_mean,violin,tf15,0,0.0
ace,muqt_1_mean,violin,tf16,0,0.0
ace,muqt_1_mean,violin,tf17,0,0.0
ace,muqt_1_mean,violin,tf18,0,0.0
ace,muqt_1_mean,violin,tf19,0,0.0
ace,muqt_1_mean,violin,tf20,0,0.0
ace,muqt_1_mean,violin,tf21,0,0.0
ace,muqt_1_mean,violin,tf22,0,0.0
ace,muqt_1_mean,violin,tf23,0,0.0
audioldm2,clap_1_mean,fast,down1tf1,0,0.0
audioldm2,clap_1_mean,fast,down1tf1,1,0.0
audioldm2,clap_1_mean,fast,down1tf2,0,0.0
audioldm2,clap_1_mean,fast,down1tf2,1,0.0
audioldm2,clap_1_mean,fast,down1tf5,0,0.0
audioldm2,clap_1_mean,fast,down1tf5,1,0.0
audioldm2,clap_1_mean,fast,down1tf6,0,0.0
audioldm2,clap_1_mean,fast,down1tf6,1,0.0
audioldm2,clap_1_mean,fast,down2tf1,0,0.0
audioldm2,clap_1_mean,fast,down2tf1,1,0.0
audioldm2,clap_1_mean,fast,down2tf2,0,0.0
audioldm2,clap_1_mean,fast,down2tf2,1,0.0
audioldm2,clap_1_mean,fast,down2tf5,0,0.0
audioldm2,clap_1_mean,fast,down2tf5,1,0.0
audioldm2,clap_1_mean,fast,down2tf6,0,0.0
audioldm2,clap_1_mean,fast,down2tf6,1,0.0
audioldm2,clap_1_mean,fast,down3tf1,0,0.0
audioldm2,clap_1_mean,fast,down3tf1,1,0.0
audioldm2,clap_1_mean,fast,down3tf2,0,0.0
audioldm2,clap_1_mean,fast,down3tf2,1,0.0
audioldm2,clap_1_mean,fast,down3tf5,0,0.0
audioldm2,clap_1_mean,fast,down3tf5,1,0.0
audioldm2,clap_1_mean,fast,down3tf6,0,0.0
audioldm2,clap_1_mean,fast,down3tf6,1,0.0
audioldm2,clap_1_mean,fast,midtf1,0,0.0
audioldm2,clap_1_mean,fast,midtf1,1,0.0
audioldm2,clap_1_mean,fast,midtf2,0,0.0
audioldm2,clap_1_mean,fast,midtf2,1,0.0
audioldm2,clap_1_mean,fast,up0tf1,0,0.0
audioldm2,clap_1_mean,fast,up0tf1,1,0.0
audioldm2,clap_1_mean,fast,up0tf2,0,0.0
audioldm2,clap_1_mean,fast,up0tf2,1,0.0
audioldm2,clap_1_mean,fast,up0tf5,0,0.0
audioldm2,clap_1_mean,fast,up0tf5,1,0.0
audioldm2,clap_1_mean,fast,up0tf6,0,0.0
audioldm2,clap_1_mean,fast,up0tf6,1,0.0
audioldm2,clap_1_mean,fast,up0tf9,0,0.0
audioldm2,clap_1_mean,fast,up0tf9,1,0.0
audioldm2,clap_1_mean,fast,up0tf10,0,0.0
audioldm2,clap_1_mean,fast,up0tf10,1,0.0
audioldm2,clap_1_mean,fast,up1tf1,0,0.014286
audioldm2,clap_1_mean,fast,up1tf1,1,0.014286
audioldm2,clap_1_mean,fast,up1tf2,0,0.042857
audioldm2,clap_1_mean,fast,up1tf2,1,0.042857
audioldm2,clap_1_mean,fast,up1tf5,0,0.542857
audioldm2,clap_1_mean,fast,up1tf5,1,0.157143
audioldm2,clap_1_mean,fast,up1tf6,0,0.042857
audioldm2,clap_1_mean,fast,up1tf6,1,0.042857
audioldm2,clap_1_mean,fast,up1tf9,0,0.157143
audioldm2,clap_1_mean,fast,up1tf9,1,0.157143
audioldm2,clap_1_mean,fast,up1tf10,0,0.1
audioldm2,clap_1_mean,fast,up1tf10,1,0.1
audioldm2,clap_1_mean,fast,up2tf1,0,0.042857
audioldm2,clap_1_mean,fast,up2tf1,1,0.042857
audioldm2,clap_1_mean,fast,up2tf2,0,0.042857
audioldm2,clap_1_mean,fast,up2tf2,1,0.042857
audioldm2,clap_1_mean,fast,up2tf5,0,0.042857
audioldm2,clap_1_mean,fast,up2tf5,1,0.042857
audioldm2,clap_1_mean,fast,up2tf6,0,0.042857
audioldm2,clap_1_mean,fast,up2tf6,1,0.042857
audioldm2,clap_1_mean,fast,up2tf9,0,0.042857
audioldm2,clap_1_mean,fast,up2tf9,1,0.042857
audioldm2,clap_1_mean,fast,up2tf10,0,0.042857
audioldm2,clap_1_mean,fast,up2tf10,1,0.042857
audioldm2,clap_1_mean,female,down1tf1,0,0.052632
audioldm2,clap_1_mean,female,down1tf1,1,0.052632
audioldm2,clap_1_mean,female,down1tf2,0,0.052632
audioldm2,clap_1_mean,female,down1tf2,1,0.052632
audioldm2,clap_1_mean,female,down1tf5,0,0.052632
audioldm2,clap_1_mean,female,down1tf5,1,0.052632
audioldm2,clap_1_mean,female,down1tf6,0,0.052632
audioldm2,clap_1_mean,female,down1tf6,1,0.052632
audioldm2,clap_1_mean,female,down2tf1,0,0.026316
audioldm2,clap_1_mean,female,down2tf1,1,0.026316
audioldm2,clap_1_mean,female,down2tf2,0,0.026316
audioldm2,clap_1_mean,female,down2tf2,1,0.026316
audioldm2,clap_1_mean,female,down2tf5,0,0.026316
audioldm2,clap_1_mean,female,down2tf5,1,0.026316
audioldm2,clap_1_mean,female,down2tf6,0,0.026316
audioldm2,clap_1_mean,female,down2tf6,1,0.026316
audioldm2,clap_1_mean,female,down3tf1,0,0.026316
audioldm2,clap_1_mean,female,down3tf1,1,0.026316
audioldm2,clap_1_mean,female,down3tf2,0,0.026316
audioldm2,clap_1_mean,female,down3tf2,1,0.026316
audioldm2,clap_1_mean,female,down3tf5,0,0.026316
audioldm2,clap_1_mean,female,down3tf5,1,0.026316
audioldm2,clap_1_mean,female,down3tf6,0,0.026316
audioldm2,clap_1_mean,female,down3tf6,1,0.026316
audioldm2,clap_1_mean,female,midtf1,0,0.0
audioldm2,clap_1_mean,female,midtf1,1,0.0
audioldm2,clap_1_mean,female,midtf2,0,0.0
audioldm2,clap_1_mean,female,midtf2,1,0.0
audioldm2,clap_1_mean,female,up0tf1,0,0.026316
audioldm2,clap_1_mean,female,up0tf1,1,0.026316
audioldm2,clap_1_mean,female,up0tf2,0,0.026316
audioldm2,clap_1_mean,female,up0tf2,1,0.026316
audioldm2,clap_1_mean,female,up0tf5,0,0.026316
audioldm2,clap_1_mean,female,up0tf5,1,0.026316
audioldm2,clap_1_mean,female,up0tf6,0,0.026316
audioldm2,clap_1_mean,female,up0tf6,1,0.026316
audioldm2,clap_1_mean,female,up0tf9,0,0.026316
audioldm2,clap_1_mean,female,up0tf9,1,0.026316
audioldm2,clap_1_mean,female,up0tf10,0,0.026316
audioldm2,clap_1_mean,female,up0tf10,1,0.026316
audioldm2,clap_1_mean,female,up1tf1,0,0.026316
audioldm2,clap_1_mean,female,up1tf1,1,0.026316
audioldm2,clap_1_mean,female,up1tf2,0,0.026316
audioldm2,clap_1_mean,female,up1tf2,1,0.026316
audioldm2,clap_1_mean,female,up1tf5,0,0.236842
audioldm2,clap_1_mean,female,up1tf5,1,0.078947
audioldm2,clap_1_mean,female,up1tf6,0,0.026316
audioldm2,clap_1_mean,female,up1tf6,1,0.026316
audioldm2,clap_1_mean,female,up1tf9,0,0.026316
audioldm2,clap_1_mean,female,up1tf9,1,0.026316
audioldm2,clap_1_mean,female,up1tf10,0,0.473684
audioldm2,clap_1_mean,female,up1tf10,1,0.0
audioldm2,clap_1_mean,female,up2tf1,0,0.026316
audioldm2,clap_1_mean,female,up2tf1,1,0.026316
audioldm2,clap_1_mean,female,up2tf2,0,0.026316
audioldm2,clap_1_mean,female,up2tf2,1,0.026316
audioldm2,clap_1_mean,female,up2tf5,0,0.026316
audioldm2,clap_1_mean,female,up2tf5,1,0.026316
audioldm2,clap_1_mean,female,up2tf6,0,0.026316
audioldm2,clap_1_mean,female,up2tf6,1,0.026316
audioldm2,clap_1_mean,female,up2tf9,0,0.026316
audioldm2,clap_1_mean,female,up2tf9,1,0.026316
audioldm2,clap_1_mean,female,up2tf10,0,0.026316
audioldm2,clap_1_mean,female,up2tf10,1,0.026316
audioldm2,clap_1_mean,flute,down1tf1,0,0.0
audioldm2,clap_1_mean,flute,down1tf1,1,0.0
