cell,concept,alpha,content_enjoyment,content_usefulness,production_complexity,production_quality
pci_all,piano,-30.0,6.723196,7.519172,5.535795,7.30675
pci_all,piano,-28.0,6.769224,7.555375,5.553383,7.338013
pci_all,piano,-26.0,6.71963,7.561937,5.546709,7.347476
pci_all,piano,-24.0,6.691892,7.529164,5.477019,7.349424
pci_all,piano,-22.0,6.690812,7.52317,5.48321,7.333365
pci_all,piano,-20.0,6.681861,7.520728,5.512926,7.339734
pci_all,piano,-18.0,6.667957,7.510482,5.477231,7.356988
pci_all,piano,-16.0,6.679158,7.531489,5.49977,7.355129
pci_all,piano,-14.0,6.689992,7.547746,5.487337,7.354553
pci_all,piano,-12.0,6.714179,7.557866,5.496144,7.368267
pci_all,piano,-10.0,6.718885,7.573755,5.49052,7.384756
pci_all,piano,-8.0,6.738287,7.582921,5.496734,7.395554
pci_all,piano,-6.0,6.731359,7.58076,5.479144,7.393325
pci_all,piano,-4.0,6.743926,7.593423,5.495518,7.407154
pci_all,piano,-2.0,6.751542,7.606042,5.494435,7.418971
pci_all,piano,0.0,6.749202,7.59597,5.500024,7.40565
pci_all,piano,2.0,6.74404,7.600061,5.498641,7.408516
pci_all,piano,4.0,6.754382,7.598045,5.503487,7.412725
pci_all,piano,6.0,6.750095,7.595395,5.492076,7.411252
pci_all,piano,8.0,6.754727,7.597599,5.492454,7.416701
pci_all,piano,10.0,6.749174,7.601306,5.505671,7.414065
pci_all,piano,12.0,6.760613,7.596339,5.515667,7.416039
pci_all,piano,14.0,6.764253,7.611223,5.510583,7.419447
pci_all,piano,16.0,6.763402,7.613153,5.51444,7.43109
pci_all,piano,18.0,6.759008,7.609809,5.503795,7.426166
pci_all,piano,20.0,6.793895,7.618767,5.517542,7.417911
pci_all,piano,22.0,6.783746,7.630283,5.497535,7.432621
pci_all,piano,24.0,6.794639,7.631985,5.483814,7.433619
pci_all,piano,26.0,6.864538,7.659003,5.492163,7.467849
pci_all,piano,28.0,6.920586,7.711427,5.456902,7.533211
pci_all,piano,30.0,7.034031,7.785209,5.279114,7.614038
pci_loc,piano,-30.0,6.806756,7.57311,5.523037,7.365237
pci_loc,piano,-28.0,6.812858,7.570113,5.537212,7.380461
pci_loc,piano,-26.0,6.741384,7.549692,5.509251,7.363556
pci_loc,piano,-24.0,6.766583,7.560275,5.522974,7.38815
pci_loc,piano,-22.0,6.765657,7.579965,5.511959,7.396808
pci_loc,piano,-20.0,6.73125,7.551651,5.495503,7.371288
pci_loc,piano,-18.0,6.682625,7.544264,5.50752,7.370643
pci_loc,piano,-16.0,6.690431,7.55651,5.502179,7.383806
pci_loc,piano,-14.0,6.717393,7.573882,5.515419,7.387795
pci_loc,piano,-12.0,6.700024,7.550655,5.500365,7.380463
pci_loc,piano,-10.0,6.710603,7.544126,5.501506,7.370458
pci_loc,piano,-8.0,6.694373,7.543232,5.487317,7.371411
pci_loc,piano,-6.0,6.702742,7.54528,5.481024,7.380977
pci_loc,piano,-4.0,6.689858,7.549253,5.482222,7.384036
pci_loc,piano,-2.0,6.697633,7.542616,5.491438,7.37706
pci_loc,piano,0.0,6.749202,7.59597,5.500024,7.40565
