cell,concept,axis,alpha,lpaps,muqt,clap
pci_all,piano,lpaps,-30.0,3.543369,0.103255,0.101695
pci_all,piano,lpaps,-28.0,3.289003,0.10615,0.10303
pci_all,piano,lpaps,-26.0,3.108838,0.109934,0.104914
pci_all,piano,lpaps,-24.0,2.92673,0.107484,0.103428
pci_all,piano,lpaps,-22.0,2.721771,0.10706,0.101964
pci_all,piano,lpaps,-20.0,2.497607,0.107718,0.099894
pci_all,piano,lpaps,-18.0,2.228707,0.108078,0.099309
pci_all,piano,lpaps,-16.0,2.085666,0.107608,0.098744
pci_all,piano,lpaps,-14.0,1.8206,0.109654,0.101519
pci_all,piano,lpaps,-12.0,1.642256,0.110176,0.099955
pci_all,piano,lpaps,-10.0,1.473802,0.10984,0.100589
pci_all,piano,lpaps,-8.0,1.358073,0.109597,0.100129
pci_all,piano,lpaps,-6.0,1.294526,0.109218,0.101239
pci_all,piano,lpaps,-4.0,1.251232,0.107158,0.101766
pci_all,piano,lpaps,-2.0,1.166767,0.108889,0.100763
pci_all,piano,lpaps,0.0,0.0,0.109838,0.101492
pci_all,piano,lpaps,2.0,1.091684,0.110758,0.101073
pci_all,piano,lpaps,4.0,1.214208,0.108971,0.100349
pci_all,piano,lpaps,6.0,1.257295,0.112617,0.102323
pci_all,piano,lpaps,8.0,1.324217,0.115207,0.100853
pci_all,piano,lpaps,10.0,1.449911,0.115326,0.101136
pci_all,piano,lpaps,12.0,1.598908,0.116729,0.10179
pci_all,piano,lpaps,14.0,1.80517,0.121592,0.105767
pci_all,piano,lpaps,16.0,1.967714,0.133165,0.108717
pci_all,piano,lpaps,18.0,2.227134,0.137063,0.110971
pci_all,piano,lpaps,20.0,2.50572,0.142635,0.112569
pci_all,piano,lpaps,22.0,2.733015,0.148786,0.119803
pci_all,piano,lpaps,24.0,3.002798,0.159594,0.127042
pci_all,piano,lpaps,26.0,3.276581,0.176353,0.133016
pci_all,piano,lpaps,28.0,3.501008,0.189708,0.137844
pci_all,piano,lpaps,30.0,3.80587,0.22569,0.150154
pci_all,piano,harmony,-30.0,0.095384,0.103255,0.101695
pci_all,piano,harmony,-28.0,0.086355,0.10615,0.10303
pci_all,piano,harmony,-26.0,0.079749,0.109934,0.104914
pci_all,piano,harmony,-24.0,0.074746,0.107484,0.103428
pci_all,piano,harmony,-22.0,0.068745,0.10706,0.101964
pci_all,piano,harmony,-20.0,0.060565,0.107718,0.099894
pci_all,piano,harmony,-18.0,0.051783,0.108078,0.099309
pci_all,piano,harmony,-16.0,0.047872,0.107608,0.098744
pci_all,piano,harmony,-14.0,0.041426,0.109654,0.101519
pci_all,piano,harmony,-12.0,0.037012,0.110176,0.099955
pci_all,piano,harmony,-10.0,0.031916,0.10984,0.100589
pci_all,piano,harmony,-8.0,0.028808,0.109597,0.100129
pci_all,piano,harmony,-6.0,0.026757,0.109218,0.101239
pci_all,piano,harmony,-4.0,0.025485,0.107158,0.101766
pci_all,piano,harmony,-2.0,0.02321,0.108889,0.100763
pci_all,piano,harmony,0.0,0.0,0.109838,0.101492
pci_all,piano,harmony,2.0,0.02145,0.110758,0.101073
pci_all,piano,harmony,4.0,0.024494,0.108971,0.100349
pci_all,piano,harmony,6.0,0.02571,0.112617,0.102323
pci_all,piano,harmony,8.0,0.027577,0.115207,0.100853
pci_all,piano,harmony,10.0,0.031121,0.115326,0.101136
pci_all,piano,harmony,12.0,0.034815,0.116729,0.10179
pci_all,piano,harmony,14.0,0.040304,0.121592,0.105767
pci_all,piano,harmony,16.0,0.046079,0.133165,0.108717
pci_all,piano,harmony,18.0,0.054729,0.137063,0.110971
pci_all,piano,harmony,20.0,0.06508,0.142635,0.112569
pci_all,piano,harmony,22.0,0.072117,0.148786,0.119803
pci_all,piano,harmony,24.0,0.082294,0.159594,0.127042
pci_all,piano,harmony,26.0,0.091794,0.176353,0.133016
pci_all,piano,harmony,28.0,0.103718,0.189708,0.137844
pci_all,piano,harmony,30.0,0.117187,0.22569,0.150154
pci_all,piano,melody,-30.0,0.690549,0.103255,0.101695
pci_all,piano,melody,-28.0,0.655151,0.10615,0.10303
pci_all,piano,melody,-26.0,0.635795,0.109934,0.104914
pci_all,piano,melody,-24.0,0.615565,0.107484,0.103428
pci_all,piano,melody,-22.0,0.582208,0.10706,0.101964
pci_all,piano,melody,-20.0,0.548881,0.107718,0.099894
pci_all,piano,melody,-18.0,0.50624,0.108078,0.099309
pci_all,piano,melody,-16.0,0.485253,0.107608,0.098744
pci_all,piano,melody,-14.0,0.448252,0.109654,0.101519
pci_all,piano,melody,-12.0,0.410291,0.110176,0.099955
pci_all,piano,melody,-10.0,0.384121,0.10984,0.100589
pci_all,piano,melody,-8.0,0.366885,0.109597,0.100129
pci_all,piano,melody,-6.0,0.352336,0.109218,0.101239
pci_all,piano,melody,-4.0,0.34338,0.107158,0.101766
pci_all,piano,melody,-2.0,0.334332,0.108889,0.100763
pci_all,piano,melody,0.0,0.0,0.109838,0.101492
pci_all,piano,melody,2.0,0.320822,0.110758,0.101073
pci_all,piano,melody,4.0,0.339385,0.108971,0.100349
pci_all,piano,melody,6.0,0.34651,0.112617,0.102323
pci_all,piano,melody,8.0,0.366045,0.115207,0.100853
